epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
71,6803.97,1.06497,0.85105,1.20776,0.77415,0.75272,0.77847,0.50048,1.32506,0.92915,1.36875,0.000438703,0.000438703,0.000438703
72,6871.51,1.04183,0.83564,1.20116,0.76711,0.74525,0.77083,0.49813,1.31898,0.93572,1.36308,0.000424556,0.000424556,0.000424556
73,6938.32,1.04902,0.83766,1.20572,0.79615,0.74049,0.78557,0.5067,1.31661,0.9188,1.36184,0.000410409,0.000410409,0.000410409
74,7005.8,1.05455,0.84033,1.20754,0.8,0.73784,0.7901,0.50456,1.3207,0.93074,1.36272,0.000396262,0.000396262,0.000396262
75,7073.72,1.04805,0.8313,1.20577,0.77089,0.75634,0.77972,0.50076,1.31475,0.92829,1.36209,0.000382115,0.000382115,0.000382115
76,7140.97,1.04745,0.83701,1.20277,0.80576,0.73729,0.79699,0.51382,1.31149,0.91183,1.36327,0.000367967,0.000367967,0.000367967
77,7207.91,1.04521,0.83194,1.19782,0.77839,0.75278,0.78197,0.50611,1.3248,0.91424,1.36609,0.00035382,0.00035382,0.00035382
78,7275.02,1.04356,0.82176,1.18878,0.81259,0.72154,0.77542,0.5034,1.31469,0.91238,1.36004,0.000339673,0.000339673,0.000339673
79,7343,1.03928,0.81915,1.19035,0.79849,0.7461,0.78392,0.5032,1.32141,0.9177,1.36343,0.000325526,0.000325526,0.000325526
80,7410.18,1.03173,0.83918,1.19381,0.79537,0.73177,0.78325,0.506,1.31758,0.9151,1.36117,0.000311379,0.000311379,0.000311379
81,7477.27,1.02772,0.81545,1.18516,0.78453,0.75846,0.7741,0.49764,1.31797,0.91183,1.36705,0.000297232,0.000297232,0.000297232
82,7544.6,1.0233,0.80878,1.18875,0.76892,0.75998,0.78045,0.50161,1.32313,0.91724,1.36528,0.000283085,0.000283085,0.000283085
83,7612.41,1.01853,0.81814,1.18673,0.78331,0.75402,0.78677,0.50672,1.31934,0.91537,1.36803,0.000268938,0.000268938,0.000268938
84,7680.51,1.03178,0.79651,1.18912,0.79554,0.7538,0.78306,0.50733,1.31744,0.91296,1.36516,0.000254791,0.000254791,0.000254791
85,7746.85,1.02644,0.80553,1.18376,0.789,0.75686,0.78841,0.50927,1.3066,0.91022,1.35488,0.000240644,0.000240644,0.000240644
86,7812.87,1.02528,0.79957,1.18418,0.80353,0.73097,0.79472,0.51368,1.31512,0.89824,1.36086,0.000226497,0.000226497,0.000226497
87,7879.05,1.01021,0.79525,1.17763,0.80209,0.72047,0.78388,0.50972,1.31128,0.90326,1.36056,0.000212349,0.000212349,0.000212349
88,7946.05,1.01045,0.79726,1.17518,0.80521,0.72449,0.78637,0.51473,1.31497,0.89493,1.36219,0.000198202,0.000198202,0.000198202
89,8013.33,1.02418,0.79429,1.18468,0.79598,0.73563,0.79598,0.51934,1.31816,0.89313,1.36427,0.000184055,0.000184055,0.000184055
90,8080.85,1.01691,0.78838,1.18187,0.81725,0.73337,0.79965,0.51556,1.32,0.88563,1.36477,0.000169908,0.000169908,0.000169908
91,8200.42,0.95176,0.6367,1.14069,0.78536,0.73916,0.78514,0.50812,1.32096,0.91098,1.37394,0.000155761,0.000155761,0.000155761
92,8267.95,0.94592,0.62073,1.13955,0.79692,0.74536,0.80028,0.51523,1.31946,0.8952,1.37263,0.000141614,0.000141614,0.000141614
93,8335.05,0.93378,0.60894,1.12718,0.79353,0.75101,0.79497,0.51121,1.32189,0.8977,1.37895,0.000127467,0.000127467,0.000127467
94,8401.27,0.9314,0.61584,1.12799,0.80214,0.74355,0.79405,0.51176,1.31902,0.89664,1.37637,0.00011332,0.00011332,0.00011332
95,8467.71,0.93094,0.59934,1.12753,0.80629,0.73676,0.80076,0.51985,1.31637,0.88844,1.37619,9.91726e-05,9.91726e-05,9.91726e-05
96,8534.7,0.91751,0.61946,1.1213,0.78253,0.75028,0.80013,0.51867,1.3146,0.89002,1.37627,8.50255e-05,8.50255e-05,8.50255e-05
97,8601.6,0.92174,0.59731,1.12051,0.79655,0.74369,0.79879,0.51814,1.30989,0.88781,1.37107,7.08784e-05,7.08784e-05,7.08784e-05
98,8667.9,0.91513,0.60144,1.12204,0.79965,0.73784,0.79504,0.51729,1.31189,0.89195,1.3732,5.67313e-05,5.67313e-05,5.67313e-05
99,8734.07,0.90607,0.59055,1.11326,0.80029,0.74817,0.80127,0.52016,1.31047,0.88442,1.37295,4.25842e-05,4.25842e-05,4.25842e-05
100,8800.28,0.89795,0.58714,1.10616,0.79934,0.74503,0.80051,0.51985,1.30931,0.88581,1.37277,2.84371e-05,2.84371e-05,2.84371e-05
